name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Enet,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Loger,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Nearest Neighbors,0.15517241379310345,-0.08749999999999969,0.55,0.1,1.0,0.8448275862068966
Linear SVM,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
RBF SVM,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Gaussian Process,0.15517241379310345,-0.08749999999999969,0.55,0.1,1.0,0.8448275862068966
Decision Tree,0.10344827586206896,0.27500000000000024,0.7395833333333334,0.5,0.8333333333333334,0.896551724137931
Random Forest,0.15517241379310345,-0.08749999999999969,0.55,0.1,1.0,0.8448275862068966
Neural Net,0.1206896551724138,0.1541666666666669,0.76875,0.6,0.6666666666666666,0.8793103448275862
AdaBoost,0.08620689655172414,0.3958333333333335,0.8291666666666666,0.7,0.7777777777777778,0.9137931034482759
Naive Bayes,0.1206896551724138,0.1541666666666669,0.76875,0.6,0.6666666666666666,0.8793103448275862
QDA,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
