name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4230769230769231,-0.7081000373273603,0.6121687196715192,0.24561403508771928,0.9333333333333333,0.5769230769230769
Enet,0.4230769230769231,-0.7081000373273603,0.6121687196715192,0.24561403508771928,0.9333333333333333,0.5769230769230769
Loger,0.19230769230769232,0.22359089212392713,0.8040313549832027,0.8421052631578947,0.8135593220338984,0.8076923076923077
Nearest Neighbors,0.19230769230769232,0.22359089212392713,0.7928331466965285,0.9473684210526315,0.7605633802816901,0.8076923076923077
Linear SVM,0.1346153846153846,0.45651362448674904,0.8622620380739081,0.8947368421052632,0.864406779661017,0.8653846153846154
RBF SVM,0.5384615384615384,-1.1739455020530039,0.5087719298245614,0.017543859649122806,1.0,0.46153846153846156
Gaussian Process,0.07692307692307693,0.6894363568495708,0.9148936170212766,1.0,0.8769230769230769,0.9230769230769231
Decision Tree,0.16346153846153846,0.34005225830533803,0.834079880552445,0.8596491228070176,0.8448275862068966,0.8365384615384616
Random Forest,0.11538461538461539,0.5341545352743562,0.8835386338185891,0.8947368421052632,0.8947368421052632,0.8846153846153846
Neural Net,0.20192307692307693,0.1847704367301235,0.780328480776409,0.9649122807017544,0.7432432432432432,0.7980769230769231
AdaBoost,0.10576923076923077,0.5729749906681599,0.8904441955953714,0.9298245614035088,0.8833333333333333,0.8942307692307693
Naive Bayes,0.2692307692307692,-0.08697275102650193,0.7413213885778276,0.631578947368421,0.8372093023255814,0.7307692307692307
QDA,0.14423076923076922,0.4176931690929453,0.8628219484882419,0.7894736842105263,0.9375,0.8557692307692307
