name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.5480769230769231,-1.2127659574468077,0.5,0.0,0.0,0.4519230769230769
Enet,0.5480769230769231,-1.2127659574468077,0.5,0.0,0.0,0.4519230769230769
Loger,0.23076923076923078,0.06830907054871249,0.757745427398283,0.8771929824561403,0.746268656716418,0.7692307692307693
Nearest Neighbors,0.22115384615384615,0.10712952594251623,0.7683837252706234,0.8771929824561403,0.7575757575757576,0.7788461538461539
Linear SVM,0.2403846153846154,0.02948861515490886,0.7508398656215005,0.8421052631578947,0.75,0.7596153846153846
RBF SVM,0.22115384615384615,0.10712952594251623,0.7683837252706234,0.8771929824561403,0.7575757575757576,0.7788461538461539
Gaussian Process,0.22115384615384615,0.10712952594251623,0.7683837252706234,0.8771929824561403,0.7575757575757576,0.7788461538461539
Decision Tree,0.22115384615384615,0.10712952594251623,0.7683837252706234,0.8771929824561403,0.7575757575757576,0.7788461538461539
Random Forest,0.22115384615384615,0.10712952594251623,0.7683837252706234,0.8771929824561403,0.7575757575757576,0.7788461538461539
Neural Net,0.25,-0.009331840238894662,0.7402015677491601,0.8421052631578947,0.7384615384615385,0.75
AdaBoost,0.2403846153846154,0.02948861515490886,0.7471071295259426,0.8771929824561403,0.7352941176470589,0.7596153846153846
Naive Bayes,0.2692307692307692,-0.08697275102650193,0.7450541246733856,0.5964912280701754,0.8717948717948718,0.7307692307692307
QDA,0.2692307692307692,-0.08697275102650193,0.7450541246733856,0.5964912280701754,0.8717948717948718,0.7307692307692307
