name,mse,r2,roc,recall,precission,accurarcy
lasso,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
enet,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
loger,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Nearest Neighbors,0.15517241379310345,-0.08749999999999969,0.55,0.1,1.0,0.8448275862068966
Linear SVM,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
RBF SVM,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Gaussian Process,0.15517241379310345,-0.08749999999999969,0.55,0.1,1.0,0.8448275862068966
Decision Tree,0.08620689655172414,0.3958333333333335,0.75,0.5,1.0,0.9137931034482759
Random Forest,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
Neural Net,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
AdaBoost,0.08620689655172414,0.3958333333333335,0.8291666666666666,0.7,0.7777777777777778,0.9137931034482759
Naive Bayes,0.1206896551724138,0.1541666666666669,0.76875,0.6,0.6666666666666666,0.8793103448275862
QDA,0.1724137931034483,-0.20833333333333304,0.5,0.0,0.0,0.8275862068965517
