name,mse,r2,roc,recall,precission,accurarcy
lasso,0.47115384615384615,-0.9022023142963786,0.5683090705487123,0.15789473684210525,0.9,0.5288461538461539
enet,0.4423076923076923,-0.7857409481149675,0.5946248600223963,0.21052631578947367,0.9230769230769231,0.5576923076923077
loger,0.14423076923076922,0.4176931690929453,0.8516237402015678,0.8947368421052632,0.85,0.8557692307692307
Nearest Neighbors,0.21153846153846154,0.14594998133631987,0.7771556550951848,0.8947368421052632,0.7611940298507462,0.7884615384615384
Linear SVM,0.09615384615384616,0.6117954460619636,0.8973497573721537,0.9649122807017544,0.873015873015873,0.9038461538461539
RBF SVM,0.5288461538461539,-1.1351250466592004,0.5175438596491229,0.03508771929824561,1.0,0.47115384615384615
Gaussian Process,0.09615384615384616,0.6117954460619636,0.8992161254199327,0.9473684210526315,0.8852459016393442,0.9038461538461539
Decision Tree,0.11538461538461539,0.5341545352743562,0.8760731616274728,0.9649122807017544,0.8461538461538461,0.8846153846153846
Random Forest,0.15384615384615385,0.37887271369914166,0.8353863381858901,0.9473684210526315,0.8059701492537313,0.8461538461538461
Neural Net,0.1346153846153846,0.45651362448674904,0.8715938783128032,0.8070175438596491,0.9387755102040817,0.8653846153846154
AdaBoost,0.0673076923076923,0.7282568122433746,0.929264650989175,0.9649122807017544,0.9166666666666666,0.9326923076923077
Naive Bayes,0.20192307692307693,0.1847704367301235,0.7989921612541994,0.7894736842105263,0.8333333333333334,0.7980769230769231
QDA,0.08653846153846154,0.6506159014557672,0.9173198954833894,0.8771929824561403,0.9615384615384616,0.9134615384615384
