name,mse,r2,roc,recall,precission,accurarcy
lasso,0.3173076923076923,-0.2810750279955203,0.7086599477416946,0.43859649122807015,0.9615384615384616,0.6826923076923077
enet,0.3173076923076923,-0.2810750279955203,0.7086599477416946,0.43859649122807015,0.9615384615384616,0.6826923076923077
loger,0.17307692307692307,0.3012318029115344,0.8253079507278837,0.8421052631578947,0.8421052631578947,0.8269230769230769
Nearest Neighbors,0.18269230769230768,0.26241134751773076,0.80160507652109,0.9649122807017544,0.7638888888888888,0.8173076923076923
Linear SVM,0.1346153846153846,0.45651362448674904,0.8622620380739081,0.8947368421052632,0.864406779661017,0.8653846153846154
RBF SVM,0.5288461538461539,-1.1351250466592004,0.5175438596491229,0.03508771929824561,1.0,0.47115384615384615
Gaussian Process,0.057692307692307696,0.7670772676371781,0.9361702127659575,1.0,0.9047619047619048,0.9423076923076923
Decision Tree,0.11538461538461539,0.5341545352743562,0.88167226577081,0.9122807017543859,0.8813559322033898,0.8846153846153846
Random Forest,0.0673076923076923,0.7282568122433746,0.9329973870847331,0.9298245614035088,0.9464285714285714,0.9326923076923077
Neural Net,0.25961538461538464,-0.048152295632698294,0.7575587905935051,0.5789473684210527,0.9166666666666666,0.7403846153846154
AdaBoost,0.0673076923076923,0.7282568122433746,0.927398282941396,0.9824561403508771,0.9032258064516129,0.9326923076923077
Naive Bayes,0.21153846153846154,0.14594998133631987,0.792086599477417,0.7543859649122807,0.8431372549019608,0.7884615384615384
QDA,0.10576923076923077,0.5729749906681599,0.8997760358342666,0.8421052631578947,0.96,0.8942307692307693
